Nom recette;Contenu;But;Ingrédients;Utilisation;Enchantement;
Savon violent;Savon violent B ut. Nettoyer toutes les taches et la crasse, même dans les uds. Ingrédients. Un beau plant de saponce, 4 pépins d'obyssum vert, 4 pépins d'obyssum gris, une mesure d'eau Alchimiquement Simple. Manipulation. Dissoudre les pépins d'obyssum vert dans l'eau Alchimiquement Simple. Chauffer jusqu'à la couleur Glauque (Vue/Alchimie à 0), ajouter alors les pépins d'obyssum gris et chauffer jusqu'à avoir une belle couleur Pourpre-Pourpre (Vue/Alchimie à -1). Introduire doucement dans la mixture le plant de saponce, qui doit mousser violemment et disparaître entièrement. Couper le feu. A la consistance Cheval-Serpent (Dextérité/Alchimie à - 2) malaxer la pâte obtenue sous forme d'un pain et attendre que ça refroidisse. Le pain de savon pèse 4 écailles. Utilisation. Frotter les endroits sales, puis plonger sous l'eau et frictionner. Si ça mousse bien, c'est que c'était sale. Enchantement. Non-enchantable. Par contre l'eau savonneuse... Source;;Un beau plant de saponce, 4 pépins d'obyssum vert, 4 pépins d'obyssum gris, une mesure d'eau Alchimiquement Simple. Manipulation. Dissoudre les pépins d'obyssum vert dans l'eau Alchimiquement Simple. Chauffer jusqu'à la couleur Glauque (Vue/Alchimie à 0), ajouter alors les pépins d'obyssum gris et chauffer jusqu'à avoir une belle couleur Pourpre-Pourpre (Vue/Alchimie à -1). Introduire doucement dans la mixture le plant de saponce, qui doit mousser violemment et disparaître entièrement. Couper le feu. A la consistance Cheval-Serpent (Dextérité/Alchimie à - 2) malaxer la pâte obtenue sous forme d'un pain et attendre que ça refroidisse. Le pain de savon pèse 4 écailles.;Frotter les endroits sales, puis plonger sous l'eau et frictionner. Si ça mousse bien, c'est que c'était sale.;Non-enchantable. Par contre l'eau savonneuse... Source;
Le sel noir;Le sel noir (poison ingestif) But. Obtenir 6 brins (3 doses) de sel noir. Ingrédients. La bile d'un canidé, 7 brins de satum, 7 pépins d'obyssum vert, 1 mesure d'eau. Temps de préparation. 60 minutes. Manipulation. Extraire proprement la bile d'une canidé quelconque (chien, loup, lycan, chiard...). La placer dans un mortier propre avec 7 brins de satum et 7 pépins d'obyssum vert. Malaxer longuement jusqu'à consistance chèvre-chèvre- chèvre. Faire alors chauffer une mesure d'eau quelconque dans laquelle on a jeté la préparation précédente. Lorsque la solution atteint la température bleu-pourpre-bleu, tirer vivement hors du feu et filtrer. Si tout s'est bien passé, on peut récupérer dans le filtre des petits cristaux noirs, c'est le sel noir. En cas d'échec, on ne retrouve que de vagues traces noirâtres sur le filtre. Pour extraire proprement la bile de l'animal, il faut réussir un jet de DEXTERITE/Chirurgie à -3. Utilisation. Le sel noir est une poudre cristalline noire, légèrement salée. C'est un poison difficilement détectable dans les aliments et aux effets foudroyants (détection -10 dans les aliments, -5 dans les boissons). 1ère Source;Obtenir 6 brins (3 doses) de sel noir.;La bile d'un canidé, 7 brins de satum, 7 pépins d'obyssum vert, 1 mesure d'eau. Temps de préparation. 60 minutes. Manipulation. Extraire proprement la bile d'une canidé quelconque (chien, loup, lycan, chiard...). La placer dans un mortier propre avec 7 brins de satum et 7 pépins d'obyssum vert. Malaxer longuement jusqu'à consistance chèvre-chèvre- chèvre. Faire alors chauffer une mesure d'eau quelconque dans laquelle on a jeté la préparation précédente. Lorsque la solution atteint la température bleu-pourpre-bleu, tirer vivement hors du feu et filtrer. Si tout s'est bien passé, on peut récupérer dans le filtre des petits cristaux noirs, c'est le sel noir. En cas d'échec, on ne retrouve que de vagues traces noirâtres sur le filtre. Pour extraire proprement la bile de l'animal, il faut réussir un jet de DEXTERITE/Chirurgie à -3.;Le sel noir est une poudre cristalline noire, légèrement salée. C'est un poison difficilement détectable dans les aliments et aux effets foudroyants (détection -10 dans les aliments, -5 dans les boissons). 1ère Source;;
Potion des Sens;"Potion des Sens But. Fabriquer une potion augmentant la perception Ingrédients. 3 brins de solimonce, 3 brins de tshaï, 3 brins d'ortigal glauque, 1 livre de glace pilée, 6 mesures d'eau alchimiquement simple, 6 pépins d'obyssum gris Manipulation. Faire 3 décoctions de 3 brins de solimonce, 3 brins de tshaï et 3 brins d'ortigal glauque respectivement à l'aide de 2 mesures d'eau alchimiquement simple par décoction. Conserver les 3 décoctions séparément pendant 2 heures dans 1 livre de glace pilée. Préparer un feu bien ronflant, puis verser les 3 décoctions dans un chaudron, y ajouter 6 pépins d'obyssum gris et porter jusqu'à couleur bleu-gris (-2). On peut alors observer 1 mesure d'un joli précipité bleu se former dans le chaudron. Si la couleur est autre, c'est soit que la chauffe a été mal faire, soit que la glace n'était pas assez fraîche. Utilisation. Boire l'intégralité de la potion sans respirer. L'effet a lieu au bout de 2 minutes (20 rounds) et dure 1 heure. Il confère un bonus de +6 à tous les jets de VUE, OUÏE et ODORAT-GOUT, ainsi qu'un bonus de +2 aux jets de Tir et de Lancer et est suivi d'une forte envie de se nourrir. Pratiquement, une fois l'effet terminé, le buveur doit ingurgiter 3 fois sa Sust en nourriture et en eau dans l'heure qui suit, sous peine de se voir appliquer immédiatement les règles de famine (sans attendre la fin du Château Dormant). Enchantement. Si la potion est enchantée, l'effet
magique n'a lieu que si un jet de résistance standard est échoué. L'effet se produit alors dans le round consécutif au jet de résistance et voit sa durée modifiée. Les bonus durent autant d'heures que de points de rêve. De plus, aucune famine n'est ressentie. Sur-effet. Il y a 3% de chances par point de rêve de la potion qu'un sur-effet se produise : la perte totale de l'EMPATHIE. Pour le regain, jouer tout les matins un jet d'EMPATHIE (originel) à zéro et regagner selon le barème des points de tâche. Source";Fabriquer une potion augmentant la perception;3 brins de solimonce, 3 brins de tshaï, 3 brins d'ortigal glauque, 1 livre de glace pilée, 6 mesures d'eau alchimiquement simple, 6 pépins d'obyssum gris Manipulation. Faire 3 décoctions de 3 brins de solimonce, 3 brins de tshaï et 3 brins d'ortigal glauque respectivement à l'aide de 2 mesures d'eau alchimiquement simple par décoction. Conserver les 3 décoctions séparément pendant 2 heures dans 1 livre de glace pilée. Préparer un feu bien ronflant, puis verser les 3 décoctions dans un chaudron, y ajouter 6 pépins d'obyssum gris et porter jusqu'à couleur bleu-gris (-2). On peut alors observer 1 mesure d'un joli précipité bleu se former dans le chaudron. Si la couleur est autre, c'est soit que la chauffe a été mal faire, soit que la glace n'était pas assez fraîche.;Boire l'intégralité de la potion sans respirer. L'effet a lieu au bout de 2 minutes (20 rounds) et dure 1 heure. Il confère un bonus de +6 à tous les jets de VUE, OUÏE et ODORAT-GOUT, ainsi qu'un bonus de +2 aux jets de Tir et de Lancer et est suivi d'une forte envie de se nourrir. Pratiquement, une fois l'effet terminé, le buveur doit ingurgiter 3 fois sa Sust en nourriture et en eau dans l'heure qui suit, sous peine de se voir appliquer immédiatement les règles de famine (sans attendre la fin du Château Dormant).;"Si la potion est enchantée, l'effet
magique n'a lieu que si un jet de résistance standard est échoué. L'effet se produit alors dans le round consécutif au jet de résistance et voit sa durée modifiée. Les bonus durent autant d'heures que de points de rêve. De plus, aucune famine n'est ressentie. Sur-effet. Il y a 3% de chances par point de rêve de la potion qu'un sur-effet se produise : la perte totale de l'EMPATHIE. Pour le regain, jouer tout les matins un jet d'EMPATHIE (originel) à zéro et regagner selon le barème des points de tâche. Source";
Sirop des Altérants;Sirop des Altérants (remède, recette perdue) But. Produire un chaudron dantidote à la maladie de la gorge sèche Ingrédients. 1 une livre de métal cyan, l une livre de Champibleux sylvains (champignons bleu-mauve de la forme d'un bolet), l une demi-livre de pollen des Étoiles des Champs parfois appelé « poussière détoile » (petites fleurs mauves et jaunes qui poussent dans les vallons abrités du vent), l une gloupogne chartreuse (pousse sous les cadavres des glous) Manipulation. Le métal bleu des cyans doit être obtenu pur (non forgé, à l'inverse d'une épée cyane par exemple). Source;Produire un chaudron dantidote à la maladie de la gorge sèche;1 une livre de métal cyan, l une livre de Champibleux sylvains (champignons bleu-mauve de la forme d'un bolet), l une demi-livre de pollen des Étoiles des Champs parfois appelé « poussière détoile » (petites fleurs mauves et jaunes qui poussent dans les vallons abrités du vent), l une gloupogne chartreuse (pousse sous les cadavres des glous) Manipulation. Le métal bleu des cyans doit être obtenu pur (non forgé, à l'inverse d'une épée cyane par exemple). Source;;;
Dragée de sobriété;"Dragée de sobriété But. Dégoûter un ivrogne de l'alcool. Ingrédients. Une demi-mesure dhuile de tournesol, 10 écailles de filet de haddock, une goutte dalcool fort, 15 écaille de tapioca. Manipulation. Chauffer une demi-mesure d'huile de tournesol jusqu'à la température gris-vert-glauque (-3), y ajouter dix écailles de filet de haddock plus une goutte d'alcool fort (du brandevin fera l'affaire) et mélanger jusqu'à la consistance Renard-Renard (-1). Ajouter alors quinze écailles de tapioca, remuer vigoureusement puis laisser reposer une heure. En examinant le résultat, on y trouve une dizaine de petites dragées blanches (plus en cas de réussite particulière). S'il n'y a rien, cela montre à quel point le gris-vert-glauque est difficile à distinguer du gris- vert-bleu. Utilisation. Quiconque avale une de ces dragées ne supporte plus le goût de l'alcool pendant une journée. Il doit réussir un jet de volonté à -8 ou recracher violemment le liquide et proférer un juron. ""Mille sabords"" ou ""Tonnerre de Brest"" semblent tout indiqués. Raccourci difficulté -8 Source";Dégoûter un ivrogne de l'alcool.;Une demi-mesure dhuile de tournesol, 10 écailles de filet de haddock, une goutte dalcool fort, 15 écaille de tapioca. Manipulation. Chauffer une demi-mesure d'huile de tournesol jusqu'à la température gris-vert-glauque (-3), y ajouter dix écailles de filet de haddock plus une goutte d'alcool fort (du brandevin fera l'affaire) et mélanger jusqu'à la consistance Renard-Renard (-1). Ajouter alors quinze écailles de tapioca, remuer vigoureusement puis laisser reposer une heure. En examinant le résultat, on y trouve une dizaine de petites dragées blanches (plus en cas de réussite particulière). S'il n'y a rien, cela montre à quel point le gris-vert-glauque est difficile à distinguer du gris- vert-bleu.;"Quiconque avale une de ces dragées ne supporte plus le goût de l'alcool pendant une journée. Il doit réussir un jet de volonté à -8 ou recracher violemment le liquide et proférer un juron. ""Mille sabords"" ou ""Tonnerre de Brest"" semblent tout indiqués. Raccourci difficulté -8 Source";;
La Poudre du Sombre Frisson;"La Poudre du Sombre Frisson (drogue) But. Obtenir 10 écailles de poudre du Sombre Frisson (10 doses) Ingrédients. 1 livre d'écorce de cèdre roux (forêts de feuillus, fréquent (-2)), 1 livre de trompettes des morts (collines et forêts, rare (-5)) Manipulation. Recueillir 1 livre d'écorce de cèdre roux (forêts de feuillus, fréquent (-2)) et la réduire en cendres. Recueillir aussi 1 livre de trompettes des morts (collines et forêts, rare (-5)) et les broyer dans un mortier, jusqu'à obtention d'une pâte serpent-serpent (-1). Il faut cuire ensuite cela dans un trou rempli d'eau croupie, où la pleine lune se sera reflétée. Pour cela, le meilleur moyen est de creuser un trou et d'y mettre de l'eau, qui doit y rester au moins deux semaines afin d'être suffisamment croupie. Il suffit ensuite d'attendre que la pleine lune s'y reflète. On porte le mélange à ébullition dans son trou (par exemple, en y jetant des pierres brûlantes), jusqu'à obtention d'une pâte hibou-cheval (-2). Il n'y a plus qu'à collecter cette pâte et la mettre dans un chaudron, pour la chauffer à nouveau jusqu'à évaporation totale de l'eau. Il reste alors 10 écailles d'une poudre noirâtre. Si, au contraire, on obtient des cristaux blancs, c'est que quelque chose est allé de travers. Utilisation. Créatrice d'angoisses, cette drogue est appréciée des amateurs de sensations fortes. S'utilise sous forme de tabac à priser, une dose valant une écaille.
La Poudre du Sombre Frisson Malignité 7 Durée variable (maximum 20 minutes) Dommages Aggravation d'un degré Degré 1 (1 minutes) : bouffée d'angoisse, la personne est oppressée, se sent menacée Degré 2 (15 secondes) : le Grand Frisson. La personne est submergée par ses peurs (-1d2 d'end). Lorsque cette sensation cesse, elle éprouve un profond soulagement pendant quelques secondes Degré 3 les degrés 1 et 2 se répètent 7 + d7 fois, les sensations s'amplifiant à chaque fois. L'effet général est semblable à celui d'une montagne russe avec une lente montée, puis un vertigineux plongeon. Dès que l'effet dure dix cycles ou plus, la personne doit faire un jet de VOLONTÉ ajusté par (9 - nombre de cycle), le résultat étant interprété comme suit : Réussite particuliè rlea :personne surmonte ses peurs et reprend confiance en elle. Si elle souffrait d'une phobie, celle-ci disparaît. Gain de 1 point de moral Réussite significati vlea :personne est contente que tout cela cesse. Gain de 1 point de moral Réussite norma lej e:t de moral en situation heureuse Échec norma l :jet de moral en situation malheureuse, la personne a peur que cela recommence Échec particulie rla : personne est secouée par ce qu'elle a vécu. Perte de 1 point de moral Échec tota l l:a personne est traumatisée par son expérience, elle développe une phobie. Perte de 1 point de moral Remèdes -3/Sable-Poudre +12/Lait de lune +8 Accoutumance +4 / un jour Source";Obtenir 10 écailles de poudre du Sombre Frisson (10 doses);1 livre d'écorce de cèdre roux (forêts de feuillus, fréquent (-2)), 1 livre de trompettes des morts (collines et forêts, rare (-5)) Manipulation. Recueillir 1 livre d'écorce de cèdre roux (forêts de feuillus, fréquent (-2)) et la réduire en cendres. Recueillir aussi 1 livre de trompettes des morts (collines et forêts, rare (-5)) et les broyer dans un mortier, jusqu'à obtention d'une pâte serpent-serpent (-1). Il faut cuire ensuite cela dans un trou rempli d'eau croupie, où la pleine lune se sera reflétée. Pour cela, le meilleur moyen est de creuser un trou et d'y mettre de l'eau, qui doit y rester au moins deux semaines afin d'être suffisamment croupie. Il suffit ensuite d'attendre que la pleine lune s'y reflète. On porte le mélange à ébullition dans son trou (par exemple, en y jetant des pierres brûlantes), jusqu'à obtention d'une pâte hibou-cheval (-2). Il n'y a plus qu'à collecter cette pâte et la mettre dans un chaudron, pour la chauffer à nouveau jusqu'à évaporation totale de l'eau. Il reste alors 10 écailles d'une poudre noirâtre. Si, au contraire, on obtient des cristaux blancs, c'est que quelque chose est allé de travers.;"Créatrice d'angoisses, cette drogue est appréciée des amateurs de sensations fortes. S'utilise sous forme de tabac à priser, une dose valant une écaille.
La Poudre du Sombre Frisson Malignité 7 Durée variable (maximum 20 minutes) Dommages Aggravation d'un degré Degré 1 (1 minutes) : bouffée d'angoisse, la personne est oppressée, se sent menacée Degré 2 (15 secondes) : le Grand Frisson. La personne est submergée par ses peurs (-1d2 d'end). Lorsque cette sensation cesse, elle éprouve un profond soulagement pendant quelques secondes Degré 3 les degrés 1 et 2 se répètent 7 + d7 fois, les sensations s'amplifiant à chaque fois. L'effet général est semblable à celui d'une montagne russe avec une lente montée, puis un vertigineux plongeon. Dès que l'effet dure dix cycles ou plus, la personne doit faire un jet de VOLONTÉ ajusté par (9 - nombre de cycle), le résultat étant interprété comme suit : Réussite particuliè rlea :personne surmonte ses peurs et reprend confiance en elle. Si elle souffrait d'une phobie, celle-ci disparaît. Gain de 1 point de moral Réussite significati vlea :personne est contente que tout cela cesse. Gain de 1 point de moral Réussite norma lej e:t de moral en situation heureuse Échec norma l :jet de moral en situation malheureuse, la personne a peur que cela recommence Échec particulie rla : personne est secouée par ce qu'elle a vécu. Perte de 1 point de moral Échec tota l l:a personne est traumatisée par son expérience, elle développe une phobie. Perte de 1 point de moral Remèdes -3/Sable-Poudre +12/Lait de lune +8 Accoutumance +4 / un jour Source";;
Somnifère;"Somnifère But. Obtenir 15 pépins de flavane dormante, un somnifère dissolvable dans les aliments. Ingrédients. 1 pinte d'eau alchimiquement simple, 4 brins de satum, 10 pépins d'obbadion, 2 pépins de nanar (champignon vénéneux). Temps de préparation. 30 minutes. Evaporation 6 heures. Manipulation. Ecraser le nanar avec le satum jusqu'à obtenir une consistance hibou-cheval. Faire chauffer l'eau alchimiquement simple à température glauque-bleu et y mettre la préparation. Chauffer jusqu'à couleur sangue, puis ajouter l'obbadion. Chauffer encore jusqu'à température noir-noir-gris, puis retirer du feu. Placer la préparation de façon à ce qu'elle soit éclairée par les premières lueurs du soleil. A ce moment, elle ne doit pas avoir refroidi à une couleur plus basse que glauque. Laisser ainsi la préparation s'évaporer à la chaleur du soleil jusqu'à ce qu'il se couche. Si l'on obtient une poudre cristalline violette, la manipulation a réussi. Si la poudre est parsemée de gris, on a glauqué quelque part, et si la préparation reste pâteuse, c'est que toute l'eau ne s'est pas évaporée. Dans les deux derniers cas, la manipulation a échouée. Faire jouer un jet de Chance pour voir si l'ensoleillement a été suffisant. En été, seul un échec particulier ou total indique que cela n'a pas été le cas. En hiver, il faut une significative. En automne ou au printemps, une réussite normale convient. La flavane dormante Malignité 6 Détection -5 Durée 2 heures Aggravation d'un degré Dommages Degré 0 (dès lingestion) : Pas d'effet décelable Degré 1 (10 minutes) : 1d6 END et état général à -1 Degré 2 (5 minutes) : 1d6 END et état général à -3 Degré 3 (5 minutes) : END à ½ et état général à -5 Degré 4 (2 minutes) : END à 1d6 et état général à -8 Degré 5 (1 minute) : END à 0, -1 point de vie, prise de la fatigue, sommeil total Remèdes -5 / Sable-poudre +12, Topazoïne +10, Mirobolant +8 Utilisation. La flavane dormante est un somnifère qui se présente sous la forme d'une poudre cristalline violette au goût salé. Elle peut être dissoute dans une boisson ou dans un aliment. La boisson aura un goût salé, quoique non caractéristique ; l'aliment aura un goût normal. Toutefois, dans un aliment, des cristaux peuvent rester non dissous et
donc visibles. La dose minimum est de 3 pépins. Une dose inférieure ne procure qu'un effet de somnolence passagère. Les doses supérieures doivent aller par incrément de 3 pépins. A chaque stade, tirer autant de jets de dés qu'il y a eu de doses. Le somnifère fonctionne avec un système de stades. Dès que la drogue est ingérée, on passe automatiquement au degré 0. Au bout du temps indiqué, on joue Vie à -6. Si le jet réussit, il est retenté à -1 supplémentaire au bout du même temps. Dès qu'il échoue, on passe au stade suivant. Le sommeil total dure 2 heures draconiques. Ensuite seulement l'endurance peut être récupérée. Le point de vie est récupérable selon les règles normales. Source";Obtenir 15 pépins de flavane dormante, un somnifère dissolvable dans les aliments.;1 pinte d'eau alchimiquement simple, 4 brins de satum, 10 pépins d'obbadion, 2 pépins de nanar (champignon vénéneux). Temps de préparation. 30 minutes. Evaporation 6 heures. Manipulation. Ecraser le nanar avec le satum jusqu'à obtenir une consistance hibou-cheval. Faire chauffer l'eau alchimiquement simple à température glauque-bleu et y mettre la préparation. Chauffer jusqu'à couleur sangue, puis ajouter l'obbadion. Chauffer encore jusqu'à température noir-noir-gris, puis retirer du feu. Placer la préparation de façon à ce qu'elle soit éclairée par les premières lueurs du soleil. A ce moment, elle ne doit pas avoir refroidi à une couleur plus basse que glauque. Laisser ainsi la préparation s'évaporer à la chaleur du soleil jusqu'à ce qu'il se couche. Si l'on obtient une poudre cristalline violette, la manipulation a réussi. Si la poudre est parsemée de gris, on a glauqué quelque part, et si la préparation reste pâteuse, c'est que toute l'eau ne s'est pas évaporée. Dans les deux derniers cas, la manipulation a échouée. Faire jouer un jet de Chance pour voir si l'ensoleillement a été suffisant. En été, seul un échec particulier ou total indique que cela n'a pas été le cas. En hiver, il faut une significative. En automne ou au printemps, une réussite normale convient. La flavane dormante Malignité 6 Détection -5 Durée 2 heures Aggravation d'un degré Dommages Degré 0 (dès lingestion) : Pas d'effet décelable Degré 1 (10 minutes) : 1d6 END et état général à -1 Degré 2 (5 minutes) : 1d6 END et état général à -3 Degré 3 (5 minutes) : END à ½ et état général à -5 Degré 4 (2 minutes) : END à 1d6 et état général à -8 Degré 5 (1 minute) : END à 0, -1 point de vie, prise de la fatigue, sommeil total Remèdes -5 / Sable-poudre +12, Topazoïne +10, Mirobolant +8;"La flavane dormante est un somnifère qui se présente sous la forme d'une poudre cristalline violette au goût salé. Elle peut être dissoute dans une boisson ou dans un aliment. La boisson aura un goût salé, quoique non caractéristique ; l'aliment aura un goût normal. Toutefois, dans un aliment, des cristaux peuvent rester non dissous et
donc visibles. La dose minimum est de 3 pépins. Une dose inférieure ne procure qu'un effet de somnolence passagère. Les doses supérieures doivent aller par incrément de 3 pépins. A chaque stade, tirer autant de jets de dés qu'il y a eu de doses. Le somnifère fonctionne avec un système de stades. Dès que la drogue est ingérée, on passe automatiquement au degré 0. Au bout du temps indiqué, on joue Vie à -6. Si le jet réussit, il est retenté à -1 supplémentaire au bout du même temps. Dès qu'il échoue, on passe au stade suivant. Le sommeil total dure 2 heures draconiques. Ensuite seulement l'endurance peut être récupérée. Le point de vie est récupérable selon les règles normales. Source";;
LE somnifère;Le somnifère fonctionne avec un système de stades. Dès que la drogue est ingérée, on passe automatiquement au degré 0. Au bout du temps indiqué, on joue Vie à -6. Si le jet réussit, il est retenté à -1 supplémentaire au bout du même temps. Dès qu'il échoue, on passe au stade suivant. Le sommeil total dure 2 heures draconiques. Ensuite seulement l'endurance peut être récupérée. Le point de vie est récupérable selon les règles normales. ;Recette perdue;Recette perdue;;;
Sourire des dragons;"Sourire des dragons But. Rendre les dents plus blanches, renforcer l'émail et les gencives, donner une haleine fraîche. Ingrédients. 7 brins de menthiol, 1 mesure d'eau alchimiquement simple, 4 brins de nartha, 2 brins de mercurion, 5 brins de chramaelium Manipulation. Faire bouillir l'eau et ajouter le nartha et le mercurion. Laisser refroidir jusqu'à consistance hibou- renard-cheval-lapin-chèvre (-5). Ajouter le chramaelium et mélanger jusqu'à consistance hibou-renard-cheval-lapin (-4). Puis chauffer pour atteindre la couleur bleu-vert-gris (-3). À ce moment, ajouter le menthiol, qui doit dégager une odeur forte et agréable de menthe. Laisser reposer 7 heures avant de chauffer jusqu'à mouton-cheval (-2). Puis tirer hors du feu. Résultat. Réussite : On obtient une pâte rouge à l'odeur de menthe et à l'aspect luisant. Échec : La pâte est rouge mat et l'odeur est moins forte (VUE à -3 ou ODORAT-GOÛT à - 4). Son utilisation fait pousser les canines et saigner les gencives, mais procure quand même une haleine agréable.
Utilisation. L'application bihebdomadaire de cette pâte suffit à assurer les séducteurs d'une dentition saine et attirante par son éclat inégalable, garantissant de plus une haleine irréprochable. Le sourire des dragons se conserve plusieurs mois a l'abri de l'humidité. Source";Rendre les dents plus blanches, renforcer l'émail et les gencives, donner une haleine fraîche.;7 brins de menthiol, 1 mesure d'eau alchimiquement simple, 4 brins de nartha, 2 brins de mercurion, 5 brins de chramaelium Manipulation. Faire bouillir l'eau et ajouter le nartha et le mercurion. Laisser refroidir jusqu'à consistance hibou- renard-cheval-lapin-chèvre (-5). Ajouter le chramaelium et mélanger jusqu'à consistance hibou-renard-cheval-lapin (-4). Puis chauffer pour atteindre la couleur bleu-vert-gris (-3). À ce moment, ajouter le menthiol, qui doit dégager une odeur forte et agréable de menthe. Laisser reposer 7 heures avant de chauffer jusqu'à mouton-cheval (-2). Puis tirer hors du feu. Résultat. Réussite : On obtient une pâte rouge à l'odeur de menthe et à l'aspect luisant. Échec : La pâte est rouge mat et l'odeur est moins forte (VUE à -3 ou ODORAT-GOÛT à - 4). Son utilisation fait pousser les canines et saigner les gencives, mais procure quand même une haleine agréable.;L'application bihebdomadaire de cette pâte suffit à assurer les séducteurs d'une dentition saine et attirante par son éclat inégalable, garantissant de plus une haleine irréprochable. Le sourire des dragons se conserve plusieurs mois a l'abri de l'humidité. Source;;
Sôve-Feuille;"Sôve-Feuille But. ""Plastifier"" un parchemin Ingrédients pour 1 parchemin : 5 pépins d'obbadion, 1 mesure de gelée de Celludine Manipulation. Mélanger la gelée avec l'obbadion jusqu'à consistance Lapin-Chèvre-Hibou-Cheval (-4). Enduire alors un parchemin de la pâtouille obtenue, puis laisser sécher 1 heure. Le parchemin est alors recouvert d'une pellicule extrêmement résistante aux intempéries. Pratique pour protéger ses recettes et tourne main. Remarques : La Celludine, fruit du Celludin, se trouve dans les plaines et collines tempérées. La Celludine a un goût de plastique très prononcé, et n'est pas spécialement recherchée, sauf dans les régions pauvres où l'on en fait de la gelée nutritive. Fréquent. Source";"""Plastifier"" un parchemin Ingrédients pour 1 parchemin : 5 pépins d'obbadion, 1 mesure de gelée de Celludine Manipulation. Mélanger la gelée avec l'obbadion jusqu'à consistance Lapin-Chèvre-Hibou-Cheval (-4). Enduire alors un parchemin de la pâtouille obtenue, puis laisser sécher 1 heure. Le parchemin est alors recouvert d'une pellicule extrêmement résistante aux intempéries. Pratique pour protéger ses recettes et tourne main. Remarques : La Celludine, fruit du Celludin, se trouve dans les plaines et collines tempérées. La Celludine a un goût de plastique très prononcé, et n'est pas spécialement recherchée, sauf dans les régions pauvres où l'on en fait de la gelée nutritive. Fréquent. Source";;;;
Sucre de Dragon jaune-bleu;sucre de Dragon jaune-bleu (préparation alchimique intermédiaire) pour chaque bain. Manipulation. Mélanger le tout dans une petite baignoire sur mesure en Groyer et compléter avec leau. Une base de 50 litres deau pour une personne de taille moyenne (entre 9 et 11) sera nécessaire. Utilisation. L'eau doit être à température fumante (environ 45 degrés) pendant toute la durée du bain. Les membres et le tronc doivent rester immergés 24 Constitution + points de Vie manquants heures draconiques. Source;;;L'eau doit être à température fumante (environ 45 degrés) pendant toute la durée du bain. Les membres et le tronc doivent rester immergés 24 Constitution + points de Vie manquants heures draconiques. Source;;
Le sucre de xotel;"Le sucre de xotel (poison ingestif) But. Obtenir 1 écaille de sucre de Xotel. Ingrédients. 20 baies de xotel (arbuste de montagne), 8 pépins de chramaelium, 12 pépins de boralm, 1 mesure d'eau alchimiquement simple. Temps de préparation. 45 minutes. Manipulation. Extraire le jus d'une vingtaine de baies de xotel bien mûres. Incorporer au jus 8 pépins de chramaelium et travailler jusqu'à consistance hibou. Rajouter 12 pépins de boralm et travailler encore jusqu'à consistance mouton- renard. Faire chauffer une mesure d'eau alchimiquement simple jusqu'à température glauque-glauque. Y incorporer la préparation et faire évaporer tout le liquide sans jamais dépasser la température bleu. On doit obtenir un déhacoudre de cristaux blancs, c'est le sucre de xotel. Si les cristaux ont encore une teinte même légèrement rouge, le sucre obtenu n'a aucune vertu. Le sucre de xotel Malignité 5 Détection 8 à 0 5 minutes Périodicité Dommages Perte de 1 point de vie et de 2 points de VUE, troubles visuels, hallucinations Remèdes -4 / Huile de Sélikante +12, tanemiel doré +9, tanemiel +7, élixir des gnomes +5, gelée royale +3
Utilisation. Le sucre de xotel se présente sous la forme de cristaux blancs. Son goût est effectivement sucré (détection de -8 à 0 selon que l'aliment ou la boisson doit être naturellement sucré ou non). Une dose fait 20 brins (1/5 d'écaille). Source";Obtenir 1 écaille de sucre de Xotel.;20 baies de xotel (arbuste de montagne), 8 pépins de chramaelium, 12 pépins de boralm, 1 mesure d'eau alchimiquement simple. Temps de préparation. 45 minutes. Manipulation. Extraire le jus d'une vingtaine de baies de xotel bien mûres. Incorporer au jus 8 pépins de chramaelium et travailler jusqu'à consistance hibou. Rajouter 12 pépins de boralm et travailler encore jusqu'à consistance mouton- renard. Faire chauffer une mesure d'eau alchimiquement simple jusqu'à température glauque-glauque. Y incorporer la préparation et faire évaporer tout le liquide sans jamais dépasser la température bleu. On doit obtenir un déhacoudre de cristaux blancs, c'est le sucre de xotel. Si les cristaux ont encore une teinte même légèrement rouge, le sucre obtenu n'a aucune vertu. Le sucre de xotel Malignité 5 Détection 8 à 0 5 minutes Périodicité Dommages Perte de 1 point de vie et de 2 points de VUE, troubles visuels, hallucinations Remèdes -4 / Huile de Sélikante +12, tanemiel doré +9, tanemiel +7, élixir des gnomes +5, gelée royale +3;Le sucre de xotel se présente sous la forme de cristaux blancs. Son goût est effectivement sucré (détection de -8 à 0 selon que l'aliment ou la boisson doit être naturellement sucré ou non). Une dose fait 20 brins (1/5 d'écaille). Source;;
Tehroline;Tehroline (remède, recette perdue) But. Obtenir 4 doses dantidote au venin de Scorpicus. Ingrédients. Ecorces de certains arbres. Manipulation. Mâcher longuement lécorce. La salive est recrachée, puis on la laisse reposer au minimum une journée. Notes. Pour tous les autres maux, la tehroline à les mêmes pouvoirs que la liqueur de Bagdol. Source;Obtenir 4 doses dantidote au venin de Scorpicus.;Ecorces de certains arbres. Manipulation. Mâcher longuement lécorce. La salive est recrachée, puis on la laisse reposer au minimum une journée. Notes. Pour tous les autres maux, la tehroline à les mêmes pouvoirs que la liqueur de Bagdol. Source;;;
